,Repository,Number,State,Title,Body,Labels,Comments,Codes,Commands,class,related
0,caffe,3075,closed,strange result when running blvc_reference_caffenet model,"Hi,

I tried to run the example here: https://github.com/BVLC/caffe/blob/master/examples/00-classification.ipynb, but find that my result is quite different from the notebook's description,

Here is my result:
**Predicted class is #48281.**

And the example says:
**Predicted class is #281.**

Does anyone know why here it's different?

BTW, first I think it might be category#48 and category#281, but now I'm sure that it's not, since I check the _/data/ilsvrc12/synset_words.txt_ and think they're unrelated. I have done several times with the newest caffe repos and download the models from the _readme_'s url: [http://dl.caffe.berkeleyvision.org/bvlc_reference_caffenet.caffemodel](http://dl.caffe.berkeleyvision.org/bvlc_reference_caffenet.caffemodel), I tried to download(Model Zoo) with **./scripts/download_model_binary.py models/bvlc_reference_caffenet/** but it's too slow so I don't test this model, but I wonder that maybe this model is the same as the previous url.

Any suggestions will be much appreciated, Thanks.
",,"[""You need to do\nout['prob'].argmax(axis=1)\nto get the prediction for each item in the batch.\n\nOtherwise, it's the argmax across the flattened array which could include images from other batches, if your batchsize isn't set to 1.\n"", 'Also:\n\n> _Please do not post usage, installation, or modeling questions, or other requests for help to Issues._\n> Use the [caffe-users list](https://groups.google.com/forum/#!forum/caffe-users) instead. This helps developers maintain a clear, uncluttered, and efficient view of the state of Caffe.\n', 'Thank you very much @seanbell , and for your suggestion. I just found that google group which is also very useful!\n']",[],[],1,0
1,caffe,4102,closed,Change the batch_size by the method Reshape(),"I used a deploy.prototxt to initialize a new net, the batch_size is 256, loading from the deploy.prototxt



when I use the following code:



As after I run the forward(),the runing time is about 13 ms.
But when I change the size in deploy.prototxt,the forward() runing time as follows:

prototxt_size: 256  new_batch_size: 16    runing time: 13ms
prototxt_size: 16   new_batch_size: 16     runing time: 1.5ms
prototxt_size: 1024 new_batch_size: 16      runing time: 60ms

the method Reshape() seems did not work.
Thanks~
",,"['One probably reason I found in the code is : \n\nIn blob.cpp:\n\nvoid Blob<Dtype>::Reshape(const vector<int>& shape) {\n    ...\n\n  if (count_ > capacity_) {\n    capacity_ = count_;\n    data_.reset(new SyncedMemory(capacity_ \\* sizeof(Dtype)));\n    diff_.reset(new SyncedMemory(capacity_ \\* sizeof(Dtype)));\n  }\n}\n\nthe line ""if (count_ > capacity_) "" means if the new batch_size is bigger than the old one, it will apply for more memory, and if the new batch_size is smaller than the old one , it will do nothing.\nWhy do like this?\n', '@7oud the reason is that constantly reallocating memory on the GPU can be inefficient if you are changing blob sizes every iteration.\n\nIf you want to hard-code a batchsize into your net `deploy.prototxt` and then change it at runtime, I recommend making the batchsize much smaller (e.g. 1).\n\nIn your above experiments, after calling `net.Reshape`, are the blobs reshaped correctly (the input blob, and all other intermediate blobs)?  Do they all have batchsize 16?\n', ""@seanbell Yes, after calling `net.Reshape`, the blobs reshaped correctly. e.g. `Blob->shape_` has changed to the new batch size. But the `Blob->count_` may not equal to `Blob->capacity_`.\n\nSo when the batchsize changes to bigger, it must reallocate bigger memory on gpu and `Blob->count_ == Blob->capacity_, data_.reset(), diff_.reset()`. On the contray, when the batchsize changes to smaller, it won't  reallocate smaller memory for efficiency, so `Blob->count_ < Blob->capacity_` and the `net->forward` time may take more time when the new batchsize much smaller than the orginal one, because much computaition is wasted.\n"", ""Adding something like:\n\n```\n// in Blob::Reshape \n  static const int kShrinkageFactor = 2;\n  if (count_ < capacity_ / kShrinkageFactor) {\n    capacity_ = count_;\n    data_.reset(new SyncedMemory(capacity_ * sizeof(Dtype)));\n    diff_.reset(new SyncedMemory(capacity_ * sizeof(Dtype)));\n  }\n```\n\nmight help for this. It's a tradeoff that might or might not work for your problem.\n"", ""@7oud I don't understand why extra unused capacity will make things run slower.  Every layer uses the Blob shape metadata to index into the blobs, so any allocated but unused memory should not cause a slowdown in the computation.  If the unused memory is used by some function, then that's a bug in caffe.  Layers should not access data outside the blob shape metadata.\n"", '@seanbell Actually it was slow down. you can do some experiments to verify the problem. I think the specific function (e.g. convolution) may run on the ""capacity"" not on the ""blob"", it means it won\'t distinguish ""used"" or ""unused"" memory.\n\n@shelhamer Could you give some advice? Thanks!\n', ""@7oud that's not possible since `capacity_` is a protected variable (https://github.com/BVLC/caffe/blob/14dc012b782c9296f370f8cb620104396fc1b414/include/caffe/blob.hpp#L274).  Layers can only use the `shape` and `count` as reported by the Blob.\n"", '@seanbell Could you repeat the experiment and tell me your result?\n', '@seanbell is right, and this does not seem to be reproducible.\n']","['\ninput: ""data""\ninput_shape {\n  dim: 256\n  dim: 3\n  dim: 227\n  dim: 227\n}\n', '\n////\nint new_batch_size = 16;\nBlob<float>* input_layer = net_->input_blobs()[0];\ninput_layer->Reshape(new_batch_size, num_channels_,input_geometry_.height, input_geometry_.width);\nnet_->Reshape();\n////\n']",[],1,0
2,caffe,5643,open,Convert caffemodel into C++/python scripts to improve detection speed?,"Hi all, I have a question to discuss with anyone who is interested in mobile applications. I have trained a caffemodel and the result is good(~35FPS) when I test it with my desktop, which is equipped with Nvidia Titan XP. But when I transform all these work into Nvidia Tx2, it can work but the detection speed is slow (2FPS). To solve this problem, I get an idea. Since I have got the trained model, I can convert the forward pass into C++/python scripts and get rid of caffe framework. Anyone has ever done same kind of things before and do you think it's workable and can improve detection speed? Any discussion is appreciated.
Thx",,"[""No that won't help you get more speed. The Caffe framework is already highly optimized C++ and CUDA code. Make sure however that you use cuDNN on your Tx2."", 'Also have a look at TensorRT to speed things up by combining operations and by doing inference in 8 bit.', '@naibaf7 Hi, thanks for your reply. I have used cuDNN on TX2. So it seems that there is no way to improve speed except for changing another framework. Can I say that? If so, is there any advice for another framework?\r\nthx~', '@willyd thx for your reply. I will check more details. ^ ^']",[],[],1,0
3,caffe,3086,closed,PyCaffe backward() produces zero gradients when GPU mode,"I'm working on generating saliency maps though gradient data, as in [this](http://www.robots.ox.ac.uk/~vgg/publications/2014/Simonyan14a/simonyan14a.pdf) famous paper.

It works well when using pycaffe in CPU mode. When in GPU mode, all the gradients computed by the backward pass are zeros.

I'm using Ubuntu 14.04, VGG Net without a Data Layer and I set force_backward : true.

This is the code that works



This works, indeed


",,"[""Closing as there is not enough information here to suggest a bug; how are you reading the gradient?\n\nIf there's still a problem you can reproduce with the latest Caffe master, feel free to open a new issue with instructions to recreate it; see https://github.com/BVLC/caffe/blob/master/CONTRIBUTING.md.\n"", ""@fferrara Were you able to resolve it? I'm also facing the same error\n"", ""Actually, I kind of gave up. I didn't try the latest master branch, because I can still use CPU for producing saliency maps.\n"", ""I see. I also did give up earlier, but now have to look for a way to fix it since the CPU is getting too slow for me. I'll try this with the master branch and create a new issue there.\n""]","[""\nimport caffe\nimport numpy as np\ncaffe.set_mode_gpu()\nnet = caffe.Net('deploy_saliency.prototxt', 'models/snapshot.caffemodel', caffe.TEST)\n\nin_ = 'data'\ntransformer = caffe.io.Transformer(\n                {in_: net.blobs[in_].data.shape})\ntransformer.set_transpose(in_, (2, 0, 1))\ntransformer.set_mean(in_, np.array([104, 117, 123]))\ntransformer.set_raw_scale(in_, 255)\ntransformer.set_channel_swap(in_, (2, 1, 0))\nimg = 'example_class_2.jpg'\nimage = caffe.io.load_image(img)\ninput_ = transformer.preprocess(in_, image)\nnet.blobs[in_].data[...] = input_\nnet.forward()\nlabel = np.zeros((1, 5))\nlabel[0,2] = 1\nnet.backward(**{'prob':label})\n"", ""\nimport caffe\nimport numpy as np\ncaffe.set_mode_cpu()\nnet = caffe.Net('deploy_saliency.prototxt', 'models/snapshot.caffemodel', caffe.TEST)\n\nin_ = 'data'\ntransformer = caffe.io.Transformer(\n                {in_: net.blobs[in_].data.shape})\ntransformer.set_transpose(in_, (2, 0, 1))\ntransformer.set_mean(in_, np.array([104, 117, 123]))\ntransformer.set_raw_scale(in_, 255)\ntransformer.set_channel_swap(in_, (2, 1, 0))\nimg = 'example_class_2.jpg'\nimage = caffe.io.load_image(img)\ninput_ = transformer.preprocess(in_, image)\nnet.blobs[in_].data[...] = input_\nnet.forward()\nlabel = np.zeros((1, 5))\nlabel[0,2] = 1\nnet.backward(**{'prob':label})\n""]",[],1,0
4,caffe,2448,closed,CPU usage at a low level,"Hi everyone. When I run Caffe with CPU usage close to 100%,   each iteration needs only about 0.34s. However, after several iterations the CPU usage drops significantly, and each iteration needs about > 5s, and most of the time is for data IO. 

My system is Ubuntu 14.04 and the data layer is LMDB. Does anybody know how to solve the problem? Thanks!

Here is the comparison of running time:
1. High CPU usage:


1. Low CPU usage



Thanks! 
",,"[""@bearpaw Hey dude, are you using CPU only? My lab's server does not have GPUs so I want to use CPU. But I can only use one CPU core. So I am looking around to see how to configure caffe/OpenBLAS to use all the CPU cores. Thanks.\n"", 'Please ask usage questions on the caffe-users list. Thanks!\n']","['\nI0512 22:09:43.043788  7012 caffe.cpp:273] Average time per layer: \nI0512 22:09:43.043794  7012 caffe.cpp:276]       data   forward: 2.7368 ms.\nI0512 22:09:43.043799  7012 caffe.cpp:279]       data   backward: 0.00166464 ms.\nI0512 22:09:43.043804  7012 caffe.cpp:276]      conv1   forward: 31.2199 ms.\nI0512 22:09:43.043812  7012 caffe.cpp:279]      conv1   backward: 49.7723 ms.\nI0512 22:09:43.043818  7012 caffe.cpp:276]      relu1   forward: 2.58098 ms.\nI0512 22:09:43.043823  7012 caffe.cpp:279]      relu1   backward: 3.68689 ms.\nI0512 22:09:43.043824  7012 caffe.cpp:276]      pool1   forward: 4.98866 ms.\nI0512 22:09:43.043828  7012 caffe.cpp:279]      pool1   backward: 10.5119 ms.\nI0512 22:09:43.043829  7012 caffe.cpp:276]      norm1   forward: 0.975877 ms.\nI0512 22:09:43.043833  7012 caffe.cpp:279]      norm1   backward: 2.00289 ms.\nI0512 22:09:43.043835  7012 caffe.cpp:276]      conv2   forward: 10.6961 ms.\nI0512 22:09:43.043838  7012 caffe.cpp:279]      conv2   backward: 32.7071 ms.\nI0512 22:09:43.043841  7012 caffe.cpp:276]      relu2   forward: 0.74297 ms.\nI0512 22:09:43.043844  7012 caffe.cpp:279]      relu2   backward: 1.14658 ms.\nI0512 22:09:43.043846  7012 caffe.cpp:276]      pool2   forward: 1.8016 ms.\nI0512 22:09:43.043848  7012 caffe.cpp:279]      pool2   backward: 5.62796 ms.\nI0512 22:09:43.043851  7012 caffe.cpp:276]      norm2   forward: 0.751883 ms.\nI0512 22:09:43.043853  7012 caffe.cpp:279]      norm2   backward: 1.68432 ms.\nI0512 22:09:43.043858  7012 caffe.cpp:276]      conv3   forward: 6.93256 ms.\nI0512 22:09:43.043859  7012 caffe.cpp:279]      conv3   backward: 20.4368 ms.\nI0512 22:09:43.043862  7012 caffe.cpp:276]      relu3   forward: 0.193908 ms.\nI0512 22:09:43.043864  7012 caffe.cpp:279]      relu3   backward: 0.295624 ms.\nI0512 22:09:43.043867  7012 caffe.cpp:276]      conv4   forward: 6.88309 ms.\nI0512 22:09:43.043869  7012 caffe.cpp:279]      conv4   backward: 20.3601 ms.\nI0512 22:09:43.043872  7012 caffe.cpp:276]      relu4   forward: 0.193293 ms.\nI0512 22:09:43.043874  7012 caffe.cpp:279]      relu4   backward: 0.294272 ms.\nI0512 22:09:43.043879  7012 caffe.cpp:276]      conv5   forward: 6.78724 ms.\nI0512 22:09:43.043881  7012 caffe.cpp:279]      conv5   backward: 20.3044 ms.\nI0512 22:09:43.043884  7012 caffe.cpp:276]      relu5   forward: 0.192744 ms.\nI0512 22:09:43.043886  7012 caffe.cpp:279]      relu5   backward: 0.297262 ms.\nI0512 22:09:43.043889  7012 caffe.cpp:276]        fc6   forward: 15.4341 ms.\nI0512 22:09:43.043892  7012 caffe.cpp:279]        fc6   backward: 24.1346 ms.\nI0512 22:09:43.043895  7012 caffe.cpp:276]      relu6   forward: 0.0837414 ms.\nI0512 22:09:43.043897  7012 caffe.cpp:279]      relu6   backward: 0.126348 ms.\nI0512 22:09:43.043900  7012 caffe.cpp:276]      drop6   forward: 0.204159 ms.\nI0512 22:09:43.043902  7012 caffe.cpp:279]      drop6   backward: 0.119359 ms.\nI0512 22:09:43.043905  7012 caffe.cpp:276]        fc7   forward: 5.93108 ms.\nI0512 22:09:43.043907  7012 caffe.cpp:279]        fc7   backward: 10.1628 ms.\nI0512 22:09:43.043910  7012 caffe.cpp:276]      relu7   forward: 0.0824173 ms.\nI0512 22:09:43.043912  7012 caffe.cpp:279]      relu7   backward: 0.128106 ms.\nI0512 22:09:43.043925  7012 caffe.cpp:276]      drop7   forward: 0.198971 ms.\nI0512 22:09:43.043930  7012 caffe.cpp:279]      drop7   backward: 0.121266 ms.\nI0512 22:09:43.043931  7012 caffe.cpp:276]        fc8   forward: 11.797 ms.\nI0512 22:09:43.043934  7012 caffe.cpp:279]        fc8   backward: 21.8924 ms.\nI0512 22:09:43.043937  7012 caffe.cpp:276]       loss   forward: 0.793592 ms.\nI0512 22:09:43.043941  7012 caffe.cpp:279]       loss   backward: 0.374767 ms.\nI0512 22:09:43.043953  7012 caffe.cpp:284] Average Forward pass: 113.092 ms.\nI0512 22:09:43.043956  7012 caffe.cpp:286] Average Backward pass: 227.2 ms.\nI0512 22:09:43.043962  7012 caffe.cpp:288] Average Forward-Backward: 340.386 ms.\nI0512 22:09:43.043965  7012 caffe.cpp:290] Total Time: 17019.3 ms.\nI0512 22:09:43.043969  7012 caffe.cpp:291] *** Benchmark ends ***\n', '\nI0512 21:52:33.160395 10122 caffe.cpp:273] Average time per layer: \nI0512 21:52:33.160399 10122 caffe.cpp:276]       data   forward: 5222.5 ms.\nI0512 21:52:33.160403 10122 caffe.cpp:279]       data   backward: 0.00177088 ms.\nI0512 21:52:33.160405 10122 caffe.cpp:276]      conv1   forward: 30.1762 ms.\nI0512 21:52:33.160408 10122 caffe.cpp:279]      conv1   backward: 48.7598 ms.\nI0512 21:52:33.160410 10122 caffe.cpp:276]      relu1   forward: 2.53738 ms.\nI0512 21:52:33.160413 10122 caffe.cpp:279]      relu1   backward: 3.70294 ms.\nI0512 21:52:33.160415 10122 caffe.cpp:276]      pool1   forward: 4.86257 ms.\nI0512 21:52:33.160418 10122 caffe.cpp:279]      pool1   backward: 10.3474 ms.\nI0512 21:52:33.160420 10122 caffe.cpp:276]      norm1   forward: 0.970911 ms.\nI0512 21:52:33.160423 10122 caffe.cpp:279]      norm1   backward: 1.96504 ms.\nI0512 21:52:33.160424 10122 caffe.cpp:276]      conv2   forward: 10.5993 ms.\nI0512 21:52:33.160437 10122 caffe.cpp:279]      conv2   backward: 32.0202 ms.\nI0512 21:52:33.160440 10122 caffe.cpp:276]      relu2   forward: 0.744714 ms.\nI0512 21:52:33.160442 10122 caffe.cpp:279]      relu2   backward: 1.13676 ms.\nI0512 21:52:33.160444 10122 caffe.cpp:276]      pool2   forward: 1.78942 ms.\nI0512 21:52:33.160447 10122 caffe.cpp:279]      pool2   backward: 5.45584 ms.\nI0512 21:52:33.160449 10122 caffe.cpp:276]      norm2   forward: 0.75441 ms.\nI0512 21:52:33.160452 10122 caffe.cpp:279]      norm2   backward: 1.70248 ms.\nI0512 21:52:33.160454 10122 caffe.cpp:276]      conv3   forward: 6.74193 ms.\nI0512 21:52:33.160456 10122 caffe.cpp:279]      conv3   backward: 20.059 ms.\nI0512 21:52:33.160459 10122 caffe.cpp:276]      relu3   forward: 0.1937 ms.\nI0512 21:52:33.160465 10122 caffe.cpp:279]      relu3   backward: 0.29271 ms.\nI0512 21:52:33.160477 10122 caffe.cpp:276]      conv4   forward: 6.73032 ms.\nI0512 21:52:33.160481 10122 caffe.cpp:279]      conv4   backward: 20.0403 ms.\nI0512 21:52:33.160485 10122 caffe.cpp:276]      relu4   forward: 0.193898 ms.\nI0512 21:52:33.160497 10122 caffe.cpp:279]      relu4   backward: 0.295028 ms.\nI0512 21:52:33.160501 10122 caffe.cpp:276]      conv5   forward: 6.69046 ms.\nI0512 21:52:33.160513 10122 caffe.cpp:279]      conv5   backward: 20.2724 ms.\nI0512 21:52:33.160519 10122 caffe.cpp:276]      relu5   forward: 0.193786 ms.\nI0512 21:52:33.160532 10122 caffe.cpp:279]      relu5   backward: 0.29513 ms.\nI0512 21:52:33.160537 10122 caffe.cpp:276]        fc6   forward: 15.8236 ms.\nI0512 21:52:33.160542 10122 caffe.cpp:279]        fc6   backward: 24.2208 ms.\nI0512 21:52:33.160553 10122 caffe.cpp:276]      relu6   forward: 0.0840685 ms.\nI0512 21:52:33.160559 10122 caffe.cpp:279]      relu6   backward: 0.125889 ms.\nI0512 21:52:33.160574 10122 caffe.cpp:276]      drop6   forward: 0.206337 ms.\nI0512 21:52:33.160578 10122 caffe.cpp:279]      drop6   backward: 0.119312 ms.\nI0512 21:52:33.160591 10122 caffe.cpp:276]        fc7   forward: 6.01617 ms.\nI0512 21:52:33.160595 10122 caffe.cpp:279]        fc7   backward: 10.2691 ms.\nI0512 21:52:33.160601 10122 caffe.cpp:276]      relu7   forward: 0.083296 ms.\nI0512 21:52:33.160615 10122 caffe.cpp:279]      relu7   backward: 0.128798 ms.\nI0512 21:52:33.160619 10122 caffe.cpp:276]      drop7   forward: 0.199663 ms.\nI0512 21:52:33.160624 10122 caffe.cpp:279]      drop7   backward: 0.121845 ms.\nI0512 21:52:33.160635 10122 caffe.cpp:276]        fc8   forward: 11.7489 ms.\nI0512 21:52:33.160640 10122 caffe.cpp:279]        fc8   backward: 21.8078 ms.\nI0512 21:52:33.160646 10122 caffe.cpp:276]       loss   forward: 0.804949 ms.\nI0512 21:52:33.160660 10122 caffe.cpp:279]       loss   backward: 0.392463 ms.\nI0512 21:52:33.160686 10122 caffe.cpp:284] Average Forward pass: 5331.43 ms.\nI0512 21:52:33.160693 10122 caffe.cpp:286] Average Backward pass: 224.558 ms.\nI0512 21:52:33.160701 10122 caffe.cpp:288] Average Forward-Backward: 5556.07 ms.\nI0512 21:52:33.160708 10122 caffe.cpp:290] Total Time: 277804 ms.\nI0512 21:52:33.160714 10122 caffe.cpp:291] *** Benchmark ends ***\n']",[],1,0
5,caffe,2322,closed,"loss very small 0.0002 but accuracy ""not that high""","I have trained a ConvNet and I am getting a loss of 0.0002. The output of the softmax containing the votes for each class is also very high for one class (0.99 in general, but some are also 0.8) and very low for the others.
Wouldn't that mean that the network is doing very accurate predictions? why am I then getting an accuracy of ""only"" 80%?

Thanks!
",,"['would that mean that the network is learning my data set ""by heart"" in the training phase? Is there a way to avoid this?\n', 'Please ask modeling questions on the [caffe-users](https://groups.google.com/forum/#!forum/caffe-users) group or refer to general machine learning tutorials and tips.\n']",[],[],1,0
